Date,"Country Specific Keywords",Impression,Clicks,Cost,Avg.CPC,Conversion,"View Through Conversion"
12-Jan,AFGHANISTAN,0,0,0,0,0,0
12-Jan,ANGOLA,0,0,0,0,0,0
12-Jan,ANGUILLA,0,0,0,0,0,0
12-Jan,ANTIGUA,0,0,0,0,0,0
12-Jan,ARMENIA,0,0,0,0,0,0
12-Jan,AUSTRALIA,0,0,0,0,0,0
12-Jan,AZERBAIJAN,0,0,0,0,0,0
12-Jan,BAHAMAS,123531,214,27.02,0.13,12,10
12-Jan,BAHRAIN,0,0,0,0,0,0
12-Jan,BANGLADESH,289125,555,50.84,0.09,41,29
12-Jan,BARBADOS,0,0,0,0,0,0
12-Jan,BENIN,64495,78,14.41,0.18,8,7
12-Jan,BERMUDA,0,0,0,0,0,0
12-Jan,BOLIVIA,595711,1309,65.84,0.05,120,102
12-Jan,BOTSWANA,79019,101,8.89,0.26,0,0
12-Jan,"BRITISH VIRGIN ISLANDS",368686,691,44.1,0.06,15,12
12-Jan,BRUNEI,0,0,0,0,0,0
12-Jan,BURUNDI,18340,34,7.47,0.47,0,0
12-Jan,CAMBODIA,0,0,0,0,0,0
12-Jan,CAMEROON,0,0,0,0,0,0
12-Jan,CANADA,0,0,0,0,0,0
12-Jan,CAYMAN,14599,13,1.44,0.11,0,0
12-Jan,CHILE,0,0,0,0,0,0
12-Jan,CONGO,0,0,0,0,0,0
12-Jan,"COSTA RICA",0,0,0,0,0,0
12-Jan,"COTE D'IVOIRE",0,0,0,0,0,0
12-Jan,CYPRUS,251359,140,13.27,0.09,0,0
12-Jan,DENMARK,0,0,0,0,0,0
12-Jan,DJIBOUTI,0,0,0,0,0,0
12-Jan,DOMINICA,0,0,0,0,0,0
12-Jan,"DOMINICAN REPUBLIC",0,0,0,0,0,0
12-Jan,"DR CONGO",0,0,0,0,0,0
12-Jan,DURBAN,0,0,0,0,0,0
12-Jan,EGYPT,0,0,0,0,0,0
12-Jan,ENGLAND,0,0,0,0,0,0
12-Jan,ETHIOPIA,0,0,0,0,0,0
12-Jan,FIJI,62590,47,5.46,0.2,4,4
12-Jan,FINLAND,0,0,0,0,0,0
12-Jan,FRANCE,0,0,0,0,0,0
12-Jan,GABON,0,0,0,0,0,0
12-Jan,GEORGIA,538356,727,50.31,0.07,29,23
12-Jan,GERMANY,0,0,0,0,0,0
12-Jan,GHANA,303538,432,49.85,0.12,48,34
12-Jan,GRENADA,0,0,0,0,0,0
12-Jan,GUATEMALA,480362,747,51.94,0.07,39,30
12-Jan,GUYANA,0,0,0,0,0,0
12-Jan,HAITI,0,0,0,0,0,0
12-Jan,HONDURAS,416765,748,51.96,0.07,26,24
12-Jan,"HONG KONG",0,0,0,0,0,0
12-Jan,INDONESIA,0,0,0,0,0,0
12-Jan,IRELAND,0,0,0,0,0,0
12-Jan,JAMAICA,0,0,0,0,0,0
12-Jan,JAPAN,0,0,0,0,0,0
12-Jan,JORDAN,0,0,0,0,0,0
12-Jan,KAZAKHSTAN,567933,772,51.15,0.07,27,24
12-Jan,KENYA,271659,420,58.34,0.43,20,16
12-Jan,KIRIBATI,11931,47,6.49,0.14,3,3
12-Jan,KUWAIT,0,0,0,0,0,0
12-Jan,KYRGYZSTAN,82482,171,12.27,0.07,2,2
12-Jan,LEBANON,0,0,0,0,0,0
12-Jan,LESOTHO,0,0,0,0,0,0
12-Jan,LIBYA,0,0,0,0,0,0
12-Jan,MADAGASCAR,0,0,0,0,0,0
12-Jan,MALAWI,137231,179,29.48,0.16,17,15
12-Jan,MALAYSIA,1185811,427,46.13,0.09,9,8
12-Jan,MALTA,329038,184,17.23,0.09,7,6
12-Jan,MAURITIUS,403895,320,49.76,0.16,24,21
12-Jan,MEXICO,0,0,0,0,0,0
12-Jan,MICRONESIA,1033,0,0,0,0,0
12-Jan,MONGOLIA,200860,413,33.07,0.08,10,10
12-Jan,MOZAMBIQUE,30441,15,2.22,0.15,0,0
12-Jan,NAMIBIA,117641,245,30.03,0.12,10,9
12-Jan,"NETHERLANDS ANTILLES",93,9,1.48,0.16,0,0
12-Jan,"NEW ZEALAND",0,0,0,0,0,0
12-Jan,NICARAGUA,0,0,0,0,0,0
12-Jan,NIGERIA,188278,515,56.69,0.28,82,59
12-Jan,NORWAY,0,0,0,0,0,0
12-Jan,PAKISTAN,0,0,0,0,0,0
12-Jan,PALAU,1276,4,0.71,0.18,0,0
12-Jan,PANAMA,308104,397,38.38,0.1,8,6
12-Jan,"PAPUA NEW GUINEA",45347,80,18.2,0.23,4,4
12-Jan,PARAGUAY,328896,990,48.35,0.05,49,46
12-Jan,PERU,0,0,0,0,0,0
12-Jan,PHILIPPINES,244867,797,48.57,0.06,26,23
12-Jan,"RC CONGO",0,0,0,0,0,0
