Date,Countries,Impression,Clicks,Cost,Avg. CPC,Conversions,View Through
Apr-12,LEBANON| Search,0,0,0,0,0,0
Apr-12,AZERBAIJAN| Content #,0,0,0,0,0,0
Apr-12,DENMARK| Search,0,0,0,0,0,0
Apr-12,SAUDI ARABIA| Content,125716,429,30.79,0.07,20,16
Apr-12,SURINAME| Search,0,0,0,0,0,0
Apr-12,RWANDA | Search,0,0,0,0,0,0
Apr-12,PALAU | Search,0,0,0,0,0,0
Apr-12,MAURITIUS | Search,0,0,0,0,0,0
Apr-12,All-Search-Campaign,0,0,0,0,0,0
Apr-12,BAHAMAS| Search,0,0,0,0,0,0
Apr-12,SRI LANKA | Search,0,0,0,0,0,0
Apr-12,BANGLADESH| Content (mobile),0,0,0,0,0,0
Apr-12,TURKMENISTAN| Content,48028,94,7.24,0.08,2,2
Apr-12,RWANDA| Content (Mark) #,46289,153,17.12,0.11,0,0
Apr-12,Brands-keywords,0,0,0,0,0,0
Apr-12,UNITED STATES OF AMERICA| Content #,5144,13,2,0.15,0,0
Apr-12,UAE-Search-,0,0,0,0,0,0
Apr-12,COTE D'IVOIRE | Search (for Germany),0,0,0,0,0,0
Apr-12,TANZANIA| Content (Mark) Account 8,0,0,0,0,0,0
Apr-12,THAILAND | Search,0,0,0,0,0,0
Apr-12,NETHERLAND ANTILLES| Content #,244862,337,34.92,0.1,14,13
Apr-12,UGANDA| Content,29440,68,10.59,0.16,0,0
Apr-12,TURKEY | Search,0,0,0,0,0,0
Apr-12,DOMINICAN REPUBLIC | Search,0,0,0,0,0,0
Apr-12,ANGUILLA | Search,0,0,0,0,0,0
Apr-12,HAITI| Search,0,0,0,0,0,0
Apr-12,Import-With-Country-name-1,0,0,0,0,0,0
Apr-12,PALAU| Search,0,0,0,0,0,0
Apr-12,GUATEMALA| Content #,4320170,5135,450.49,0.09,138,118
Apr-12,KIRIBATI| Search,0,0,0,0,0,0
Apr-12,KYRGYZSTAN| Content #,308909,593,61.34,0.1,16,14
Apr-12,SAMOA | Search,0,0,0,0,0,0
Apr-12,NORWAY| Content,0,0,0,0,0,0
Apr-12,ANGOLA| Content #,0,0,0,0,0,0
Apr-12,UGANDA| Content,191998,357,14.59,0.04,1,1
Apr-12,Burundi-Search,0,0,0,0,0,0
Apr-12,FIJI | Search,0,0,0,0,0,0
Apr-12,BENIN| Content #,74458,128,17.38,0.14,24,11
Apr-12,SOLOMON ISLANDS | Content,28517,67,11.6,0.17,3,3
Apr-12,BURUNDI| Search,0,0,0,0,0,0
Apr-12,SOMALIA | Search,0,0,0,0,0,0
Apr-12,Hong Kong-(Search),0,0,0,0,0,0
Apr-12,KENYA| Content (mobile),0,0,0,0,0,0
Apr-12,FINLAND| Content #,1841,2,0.1,0.05,0,0
Apr-12,NETHERLANDS ANTILLES| Search,0,0,0,0,0,0
Apr-12,TURKEY| Search,0,0,0,0,0,0
Apr-12,CHILE | Search,0,0,0,0,0,0
Apr-12,TRINIDAD | Search,0,0,0,0,0,0
Apr-12,DR CONGO | Search,0,0,0,0,0,0
Apr-12,TONGA | Content,0,0,0,0,0,0
Apr-12,GERMANY| Search,0,0,0,0,0,0
Apr-12,Hong Kong| Search,0,0,0,0,0,0
