Date,Country Specific Keywords,Impression,Clicks,Cost,Avg.CPC,Conversion,View Through Conversion
12-Jan,MALAYSIA| Content,1185811,427,38.13,0.09,9,8
12-Jan,SRI LANKA| Content,599811,743,48.07,0.06,38,32
12-Jan,BOLIVIA| Content #,595711,1309,65.84,0.05,120,102
12-Jan,KAZAKHSTAN| Content #,567933,772,51.15,0.07,27,24
12-Jan,GEORGIA| Content,538356,727,50.31,0.07,29,23
12-Jan,GUATEMALA| Content #,480362,747,51.94,0.07,39,30
12-Jan,HONDURAS| Content,416765,748,51.96,0.07,26,24
12-Jan,MAURITIUS| Content,403895,320,49.76,0.16,24,21
12-Jan,BRITISH VIRGIN ISLANDS| Content #,368686,691,44.1,0.06,15,12
12-Jan,MALTA| Content,329038,184,17.23,0.09,7,6
12-Jan,PARAGUAY| Content,328896,990,48.35,0.05,49,46
12-Jan,RUSSIA| Content,315825,412,46.07,0.11,6,4
12-Jan,PANAMA| Content,308104,397,38.38,0.1,8,6
12-Jan,GHANA| Content #,303538,432,49.85,0.12,48,34
12-Jan,BANGLADESH| Content,289125,555,50.84,0.09,41,29
12-Jan,KENYA| Content,269310,382,46.74,0.12,19,15
12-Jan,CYPRUS| Content #,251359,140,13.27,0.09,0,0
12-Jan,PHILIPPINES| Content #,244867,797,48.57,0.06,26,23
12-Jan,TRINIDAD| Content,240258,237,17.01,0.07,1,1
12-Jan,MONGOLIA| Content,200860,413,33.07,0.08,10,10
12-Jan,NIGERIA| Content #,188161,496,53.43,0.11,81,58
12-Jan,MALAWI| Content (Mark),137231,179,29.48,0.16,17,15
12-Jan,ZAMBIA| Content,123635,164,18.78,0.11,10,8
12-Jan,BAHAMAS| Content,123531,214,27.02,0.13,12,10
12-Jan,RWANDA| Content (Mark) #,120375,258,28.03,0.11,0,0
12-Jan,NAMIBIA| Content (Mark),117641,245,30.03,0.12,10,9
12-Jan,KYRGYZSTAN| Content #,82482,171,12.27,0.07,2,2
12-Jan,BOTSWANA| Content (Mark),78132,79,4.6,0.06,0,0
12-Jan,STVINCENT| Content,76093,139,12.16,0.09,9,6
12-Jan,BENIN| Content #,64495,78,14.41,0.18,8,7
12-Jan,FIJI| Content,62566,46,5.38,0.12,4,4
12-Jan,NETHERLAND ANTILLES| Content #,56216,127,11.19,0.09,6,4
12-Jan,PAPUA NEW GUINEA| Content,45347,80,18.2,0.23,4,4
12-Jan,TURKS AND CAICOS ISLANDS | Content,38196,41,5.32,0.13,1,1
12-Jan,ZAMBIA| Content,35536,116,14.37,0.12,0,0
12-Jan,SOUTH AFRICA| Content,35531,294,36.06,0.12,7,6
12-Jan,MOZAMBIQUE | Content,30441,15,2.22,0.15,0,0
12-Jan,UGANDA| Content,29325,32,3.54,0.11,0,0
12-Jan,STKITTS| Content,24329,44,4.18,0.1,2,2
12-Jan,SIERRA LEONE| Content,24184,72,8.98,0.12,6,6
12-Jan,SAMOA| Content,19902,28,4.68,0.17,6,2
12-Jan,BURUNDI| Content (Mark) #,18300,33,7.22,0.22,0,0
12-Jan,STLUCIA| Content,14784,33,4.19,0.13,0,0
12-Jan,CAYMAN| Content #,14599,13,1.44,0.11,0,0
12-Jan,KIRIBATI| Content #,11931,47,6.49,0.14,3,3
12-Jan,KENYA| Search,2349,38,11.6,0.31,1,1
12-Jan,SOLOMON ISLANDS | Content,1418,4,0.56,0.14,0,0
12-Jan,PALAU| Content,1276,4,0.71,0.18,0,0
12-Jan,MICRONESIA| Content #,1033,0,0,0,0,0
12-Jan,BOTSWANA| Search,887,22,4.29,0.2,0,0
12-Jan,TRINIDAD| Search,387,38,11.88,0.31,0,0
12-Jan,NIGERIA| Search,117,19,3.26,0.17,1,1
12-Jan,NETHERLANDS ANTILLES| Search,93,9,1.48,0.16,0,0
12-Jan,BURUNDI| Search,40,1,0.25,0.25,0,0
12-Jan,FIJI| Search,24,1,0.08,0.08,0,0
12-Jan,PANAMA| Search,0,0,0,0,0,0
12-Jan,Hong-Kong-Search,0,0,0,0,0,0
12-Jan,BANGLADESH| Content (mobile),0,0,0,0,0,0
12-Jan,AZERBAIJAN| Content #,0,0,0,0,0,0
12-Jan,STLUCIA | Search,0,0,0,0,0,0
12-Jan,TURKEY | Search,0,0,0,0,0,0
12-Jan,JAPAN| Content,0,0,0,0,0,0
12-Jan,ZIMBABWE| Content (Mark) Account 8,0,0,0,0,0,0
12-Jan,SOUTH AFRICA| Search,0,0,0,0,0,0
12-Jan,ARMENIA | Search,0,0,0,0,0,0
12-Jan,MALAWI | Search,0,0,0,0,0,0
12-Jan,Chile-Paraguay-(Special),0,0,0,0,0,0
12-Jan,MOZAMBIQUE| Search,0,0,0,0,0,0
12-Jan,JAMAICA| Content,0,0,0,0,0,0
12-Jan,Import-with-Country-names-1,0,0,0,0,0,0
12-Jan,CHILE | Search,0,0,0,0,0,0
12-Jan,LESOTHO| Content (Mark),0,0,0,0,0,0
12-Jan,CANADA| Search,0,0,0,0,0,0
12-Jan,SWAZILAND | Search,0,0,0,0,0,0
12-Jan,GABON| Content #,0,0,0,0,0,0
12-Jan,SWEDEN| Search,0,0,0,0,0,0
12-Jan,HONG KONG | Search,0,0,0,0,0,0
12-Jan,Paraguay-Content,0,0,0,0,0,0
12-Jan,SAMOA| Search,0,0,0,0,0,0
12-Jan,NEW ZEALAND | Search,0,0,0,0,0,0
12-Jan,ETHIOPIA | Search,0,0,0,0,0,0
12-Jan,SWAZILAND| Content,0,0,0,0,0,0
12-Jan,Congo-Search,0,0,0,0,0,0
12-Jan,ZIMBABWE | Content (mobile),0,0,0,0,0,0
12-Jan,UNITED STATES OF AMERICA| Content #,0,0,0,0,0,0
12-Jan,NICARAGUA| Search,0,0,0,0,0,0
12-Jan,DURBAN| Content,0,0,0,0,0,0
12-Jan,SURINAME| Search,0,0,0,0,0,0
12-Jan,DR CONGO | Search,0,0,0,0,0,0
12-Jan,SRI LANKA| Search,0,0,0,0,0,0
12-Jan,NIGERIA | Search,0,0,0,0,0,0
12-Jan,VIETNAM| Search,0,0,0,0,0,0
12-Jan,PAKISTAN| Search,0,0,0,0,0,0
12-Jan,DOMINICAN REPUBLIC | Search,0,0,0,0,0,0
12-Jan,CHILE| Content,0,0,0,0,0,0
12-Jan,HAITI| Search,0,0,0,0,0,0
12-Jan,TANZANIA| Search,0,0,0,0,0,0
12-Jan,NEW ZEALAND| Content #,0,0,0,0,0,0
12-Jan,BOLIVIA| Search,0,0,0,0,0,0
12-Jan,AUSTRALIA | Search,0,0,0,0,0,0
12-Jan,AFGHANISTAN| Search,0,0,0,0,0,0
12-Jan,KENYA| Content (mobile),0,0,0,0,0,0
12-Jan,SAMOA | Search,0,0,0,0,0,0
12-Jan,BRUNEI| Search,0,0,0,0,0,0
12-Jan,GUATEMALA | Search,0,0,0,0,0,0
