Date,Country Specific Keywords,Impression,Clicks,Cost,Avg.CPC,Conversion,View Through Conversion
12-Apr,LEBANON| Search,0,0,0,0,0,0
12-Apr,AZERBAIJAN| Content #,0,0,0,0,0,0
12-Apr,DENMARK| Search,0,0,0,0,0,0
12-Apr,SAUDI ARABIA| Content,125716,429,30.79,0.07,20,16
12-Apr,SURINAME| Search,0,0,0,0,0,0
12-Apr,RWANDA | Search,0,0,0,0,0,0
12-Apr,PALAU | Search,0,0,0,0,0,0
12-Apr,MAURITIUS | Search,0,0,0,0,0,0
12-Apr,All-Search-Campaign,0,0,0,0,0,0
12-Apr,BAHAMAS| Search,0,0,0,0,0,0
12-Apr,SRI LANKA | Search,0,0,0,0,0,0
12-Apr,BANGLADESH| Content (mobile),0,0,0,0,0,0
12-Apr,TURKMENISTAN| Content,48028,94,7.24,0.08,2,2
12-Apr,RWANDA| Content (Mark) #,46289,153,17.12,0.11,0,0
12-Apr,Brands-keywords,0,0,0,0,0,0
12-Apr,UNITED STATES OF AMERICA| Content #,5144,13,2,0.15,0,0
12-Apr,UAE-Search-,0,0,0,0,0,0
12-Apr,COTE D'IVOIRE | Search (for Germany),0,0,0,0,0,0
12-Apr,TANZANIA| Content (Mark) Account 8,0,0,0,0,0,0
12-Apr,THAILAND | Search,0,0,0,0,0,0
12-Apr,NETHERLAND ANTILLES| Content #,244862,337,34.92,0.1,14,13
12-Apr,UGANDA| Content,29440,68,10.59,0.16,0,0
12-Apr,TURKEY | Search,0,0,0,0,0,0
12-Apr,DOMINICAN REPUBLIC | Search,0,0,0,0,0,0
12-Apr,ANGUILLA | Search,0,0,0,0,0,0
12-Apr,HAITI| Search,0,0,0,0,0,0
12-Apr,Import-With-Country-name-1,0,0,0,0,0,0
12-Apr,PALAU| Search,0,0,0,0,0,0
12-Apr,GUATEMALA| Content #,4320170,5135,450.49,0.09,138,118
12-Apr,KIRIBATI| Search,0,0,0,0,0,0
12-Apr,KYRGYZSTAN| Content #,308909,593,61.34,0.1,16,14
12-Apr,SAMOA | Search,0,0,0,0,0,0
12-Apr,NORWAY| Content,0,0,0,0,0,0
12-Apr,ANGOLA| Content #,0,0,0,0,0,0
12-Apr,UGANDA| Content,191998,357,14.59,0.04,1,1
12-Apr,Burundi-Search,0,0,0,0,0,0
12-Apr,FIJI | Search,0,0,0,0,0,0
12-Apr,BENIN| Content #,74458,128,17.38,0.14,24,11
12-Apr,SOLOMON ISLANDS | Content,28517,67,11.6,0.17,3,3
12-Apr,BURUNDI| Search,0,0,0,0,0,0
12-Apr,SOMALIA | Search,0,0,0,0,0,0
12-Apr,Hong Kong-(Search),0,0,0,0,0,0
12-Apr,KENYA| Content (mobile),0,0,0,0,0,0
12-Apr,FINLAND| Content #,1841,2,0.1,0.05,0,0
12-Apr,NETHERLANDS ANTILLES| Search,0,0,0,0,0,0
12-Apr,TURKEY| Search,0,0,0,0,0,0
12-Apr,CHILE | Search,0,0,0,0,0,0
12-Apr,TRINIDAD | Search,0,0,0,0,0,0
12-Apr,DR CONGO | Search,0,0,0,0,0,0
12-Apr,TONGA | Content,0,0,0,0,0,0
12-Apr,GERMANY| Search,0,0,0,0,0,0
12-Apr,Hong Kong| Search,0,0,0,0,0,0
12-Apr,PARAGUAY | Search,0,0,0,0,0,0
12-Apr,Chile-Paraguay-(Special),0,0,0,0,0,0
12-Apr,Paraguay-Content,0,0,0,0,0,0
12-Apr,TURKS AND CAICOS ISLANDS | Search,0,0,0,0,0,0
12-Apr,ANTIGUA | Search,0,0,0,0,0,0
12-Apr,SWEDEN| Content,10825,16,1.4,0.09,0,0
12-Apr,CYPRUS | Search,0,0,0,0,0,0
12-Apr,NAMIBIA| Content (Mark),392244,534,70.28,0.13,30,26
12-Apr,ANTIGUA| Content,9132,15,1.28,0.09,0,0
12-Apr,SOUTH AFRICA| Content,2774,64,8.54,0.13,1,1
12-Apr,INDONESIA| Search,0,0,0,0,0,0
12-Apr,TRINIDAD| Content (mobile),0,0,0,0,0,0
12-Apr,HONDURAS| Content,143373,343,30.4,0.09,15,12
12-Apr,STLUCIA | Search,0,0,0,0,0,0
